Position,Part Checking 1,Part Quantity 1,Part Checking 2,Part Quantity 2,Part Checking 3,Part Quantity 3
Position 1,Screw,1,,0,,0
Position 2,Screw,1,,0,,0
Position 3,Screw,1,Norch-OK,1,,0
Position 4,Cushion,1,,0,,0
Position 5,,0,,0,,0
Position 6,Cushion,1,,0,,0
Position 7,Sticker-9445,1,,0,,0
Position 8,Screw,3,,0,,0
Position 9,Screw,1,,0,,0
Position 10,Sticker-blue,1,,0,,0
Position 11,Screw,4,,0,,0
Position 12,Screw,1,,0,,0
Position 13,Screw,1,Saddle,2,Spacer,1
Position 14,Screw,1,Saddle,1,,0
Position 15,Mylar-5947,1,Mylar,1,Cushion-5947,1
Position 16,Screw,1,Saddle,5,,0
Position 17,Saddle,2,Screw,1,,0
Position 18,Screw,2,,0,,0
Position 19,Screw,1,E-ring,2,,0
Position 20,Saddle,2,Screw,1,,0
Note,,,,,,
