Position,Part Checking 1,Part Quantity 1,Part Checking 2,Part Quantity 2,Part Checking 3,Part Quantity 3
Position 1,Roller,2,,0,,0
Position 2,Finger,2,Screw,1,,0
Position 3,Label,1,,0,,0
Position 4,Screw,4,,0,,0
Position 5,Screw-Black,2,Screw,1,Ering,1
Position 6,Screw,3,Spring,1,,0
Position 7,Screw,3,,0,,0
Position 8,Screw,2,Ering,1,,0
Position 9,Screw,3,,0,,0
Position 10,Screw,4,Spring,1,,0
Position 11,Finger,2,,0,,0
Position 12,Screw,1,Spring,1,Ering,1
Position 13,Screw,4,,0,,0
Position 14,Screw,3,,0,,0
Position 15,Screw,3,,0,,0
Position 16,Screw,1,,0,,0
Note,,,,,,
