Position,Part Checking 1,Part Quantity 1,Part Checking 2,Part Quantity 2,Part Checking 3,Part Quantity 3
Position 1,MOISTURE,0,MOISTURE,0,MOISTURE,0
Position 2,MOISTURE,0,MOISTURE,0,MOISTURE,0
Position 3,MOISTURE,0,MOISTURE,0,MOISTURE,0
Position 4,MOISTURE,0,MOISTURE,0,MOISTURE,0
Position 5,MOISTURE,0,MOISTURE,0,MOISTURE,0
Position 6,MOISTURE,0,MOISTURE,0,MOISTURE,0
Position 7,MOISTURE,0,MOISTURE,0,MOISTURE,0
Position 8,MOISTURE,0,MOISTURE,0,MOISTURE,0
Position 9,MOISTURE,0,MOISTURE,0,MOISTURE,0
Position 10,MOISTURE,0,MOISTURE,0,MOISTURE,0
Position 11,MOISTURE,0,MOISTURE,0,MOISTURE,0
Position 12,MOISTURE,0,MOISTURE,0,MOISTURE,0
Position 13,MOISTURE,0,MOISTURE,0,MOISTURE,0
Position 14,MOISTURE,0,MOISTURE,0,MOISTURE,0
Position 15,MOISTURE,0,MOISTURE,0,MOISTURE,0
Position 16,MOISTURE,0,MOISTURE,0,MOISTURE,0
Position 17,MOISTURE,0,MOISTURE,0,MOISTURE,0
Position 18,MOISTURE,0,MOISTURE,0,MOISTURE,0
Position 19,MOISTURE,0,MOISTURE,0,MOISTURE,0
Position 20,MOISTURE,0,MOISTURE,0,MOISTURE,0
Position 21,MOISTURE,0,MOISTURE,0,MOISTURE,0
Position 22,MOISTURE,0,MOISTURE,0,MOISTURE,0
Position 23,MOISTURE,0,MOISTURE,0,MOISTURE,0
Position 24,MOISTURE,0,MOISTURE,0,MOISTURE,0
Position 25,MOISTURE,0,MOISTURE,0,MOISTURE,0
Position 26,MOISTURE,0,MOISTURE,0,MOISTURE,0
