Position,Startpoint1_X,Startpoint1_Y,Endpoint1_X,Endpoint1_Y,Startpoint2_X,Startpoint2_Y,Endpoint2_X,Endpoint2_Y,Startpoint3_X,Startpoint3_Y,Endpoint3_X,Endpoint3_Y,Startpoint4_X,Startpoint4_Y,Endpoint4_X,Endpoint4_Y,Startpoint5_X,Startpoint5_Y,Endpoint5_X,Endpoint5_Y,Startpoint6_X,Startpoint6_Y,Endpoint6_X,Endpoint6_Y,Startpoint7_X,Startpoint7_Y,Endpoint7_X,Endpoint7_Y,Startpoint8_X,Startpoint8_Y,Endpoint8_X,Endpoint8_Y,Startpoint9_X,Startpoint9_Y,Endpoint9_X,Endpoint9_Y,Startpoint10_X,Startpoint10_Y,Endpoint10_X,Endpoint10_Y
1,0,0,1280,30,1000,448,1280,720,0,208,49,636,0,0,187,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1000,0,1280,420,0,0,31,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,300,423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,1280,62,0,420,280,720,345,110,600,251,950,221,1161,416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,1280,47,0,210,145,387,470,495,1045,720,868,41,931,500,1000,45,1050,495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,1280,48,250,311,542,601,390,620,629,720,450,46,513,654,1182,39,1280,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,586,88,720,1030,0,1280,720,598,0,689,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,246,720,440,493,723,719,715,0,760,720,1050,0,1280,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,575,547,850,720,945,0,1280,180,1040,300,1200,389,0,0,300,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,782,565,1280,720,524,116,800,338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,695,375,1025,625,0,570,170,720,0,0,1100,248,528,247,730,720,960,688,1150,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,1280,202,0,203,150,400,250,320,580,592,434,194,700,337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,1280,137,302,135,1280,524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,54,485,300,671,768,282,1050,490,0,0,1280,113,935,112,1050,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,1276,192,691,628,950,720,953,689,1125,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,1280,241,986,209,1280,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,967,0,1280,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
